,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2585,29-03-2010,347.25,347.25,337.57,339.46,1281296,9.68,7.79
2586,26-03-2010,351.62,351.64,345.65,347.20,556784,5.99,4.42
2587,25-03-2010,346.38,352.68,343.75,350.70,1283360,8.93,-4.32
2588,23-03-2010,345.38,347.97,345.38,346.92,519360,2.59,-1.54
2589,22-03-2010,338.38,347.25,338.38,344.60,367616,8.87,-6.22
2590,19-03-2010,348.13,348.75,345.30,346.89,528288,3.45,1.24
2591,18-03-2010,343.89,349.02,343.39,348.10,818704,5.63,-4.21
2592,17-03-2010,341.90,343.94,340.25,342.40,871400,3.69,-0.50
2593,16-03-2010,338.75,343.59,335.40,341.55,696184,8.19,-2.80
2594,15-03-2010,333.25,338.75,329.39,337.65,2150968,9.36,-4.40
2595,12-03-2010,335.50,336.75,332.27,334.08,346232,4.48,1.42
2596,11-03-2010,333.13,336.25,331.25,335.55,517624,5.00,-2.42
2597,10-03-2010,335.49,336.25,331.13,332.49,559488,5.12,3.00
2598,09-03-2010,332.29,337.25,331.38,335.49,1047320,5.87,-3.20
2599,08-03-2010,331.63,333.69,329.79,332.44,653312,3.90,-0.81
2600,05-03-2010,328.75,329.93,326.63,329.20,459376,3.30,-0.45
2601,04-03-2010,331.88,331.88,325.99,327.93,488576,5.89,3.95
2602,03-03-2010,330.64,333.49,329.10,332.59,683104,4.39,-1.95
2603,02-03-2010,329.50,331.13,326.88,330.05,885016,4.25,-0.55
2604,26-02-2010,325.38,328.75,323.00,325.20,1414288,5.75,0.18
2605,25-02-2010,323.63,328.00,321.57,326.56,842240,6.43,-2.93
2606,24-02-2010,321.00,324.82,320.63,322.14,629440,4.19,-1.14
2607,23-02-2010,319.73,323.12,319.73,322.14,419968,3.39,-2.41
2608,22-02-2010,317.62,328.69,317.62,321.04,1066512,11.07,-3.42
2609,19-02-2010,314.50,317.75,314.50,316.20,568312,3.25,-1.70
2610,18-02-2010,315.50,318.37,312.00,316.83,531512,6.37,-1.33
2611,17-02-2010,319.75,319.99,314.04,315.00,701776,5.95,4.75
2612,16-02-2010,314.38,318.22,310.88,316.96,548128,7.34,-2.58
2613,15-02-2010,313.63,316.51,309.50,312.19,509672,7.01,1.44
2614,11-02-2010,309.13,314.59,309.13,312.22,1401816,5.46,-3.09
2615,10-02-2010,310.25,311.85,306.25,308.97,752992,5.60,1.28
2616,09-02-2010,300.13,309.46,299.25,308.87,1090872,10.21,-8.74
2617,08-02-2010,298.25,304.63,293.29,300.10,659016,11.34,-1.85
2618,06-02-2010,297.50,298.69,296.38,297.52,82552,2.31,-0.02
2619,05-02-2010,297.88,299.50,291.63,294.03,1134224,7.87,3.85
2620,04-02-2010,307.63,308.74,301.55,302.90,604400,7.19,4.73
2621,03-02-2010,306.13,312.25,306.13,308.78,470504,6.12,-2.65
2622,02-02-2010,312.00,312.38,302.80,304.71,903968,9.58,7.29
2623,01-02-2010,308.75,315.50,298.88,306.15,1316424,16.62,2.60
2624,29-01-2010,310.00,318.13,300.77,309.59,785544,17.36,0.41
2625,28-01-2010,316.38,319.38,310.75,311.80,699800,8.63,4.58
2626,27-01-2010,316.13,316.38,310.80,312.30,515912,5.58,3.83
2627,25-01-2010,318.75,319.97,314.64,317.24,722656,5.33,1.51
2628,22-01-2010,326.55,326.55,318.92,321.64,1192176,7.63,4.91
